ordinal	jar	distribution_path	original_sha256	pom_relation	recovered_source_namespaces	stage1_disposition	candidate_artifact	candidate_sha256	later_scope	decision_reason
11	artemis-selector-2.31.2.jar	lib/artemis-selector-2.31.2.jar	04fe9f984809f81c2f67ad7958846e74c3c100c8f5dc4635a5f7374372cd35e3	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/artemis-selector-2.31.2.jar	04fe9f984809f81c2f67ad7958846e74c3c100c8f5dc4635a5f7374372cd35e3	peer-transactor-transport	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
12	artemis-server-2.31.2.jar	lib/artemis-server-2.31.2.jar	a43afc3adf1fda02d0ea7453df5db3016c509c8f1578ff371b965288fe4757db	direct-pom	0	RETAIN_HASH_PINNED_STAGE1	lib/artemis-server-2.31.2.jar	a43afc3adf1fda02d0ea7453df5db3016c509c8f1578ff371b965288fe4757db	peer-transactor-transport	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
13	asm-9.2.jar	lib/asm-9.2.jar	b9d4fe4d71938df38839f0eca42aaaa64cf8b313d678da036f0cb3ca199b47f5	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/asm-9.2.jar	b9d4fe4d71938df38839f0eca42aaaa64cf8b313d678da036f0cb3ca199b47f5	shared-runtime-support	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
14	asm-analysis-5.0.3.jar	lib/asm-analysis-5.0.3.jar	e8fa2a63462c96557dcd36c25525e1264b77366ff851cf0b94eb7592b290849d	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/asm-analysis-5.0.3.jar	e8fa2a63462c96557dcd36c25525e1264b77366ff851cf0b94eb7592b290849d	shared-runtime-support	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
15	asm-commons-5.0.3.jar	lib/asm-commons-5.0.3.jar	18c1e092230233c9d29e46f21943d769bdb48130cc279e4b0e663f423948c2da	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/asm-commons-5.0.3.jar	18c1e092230233c9d29e46f21943d769bdb48130cc279e4b0e663f423948c2da	shared-runtime-support	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
16	asm-tree-5.0.3.jar	lib/asm-tree-5.0.3.jar	347a7a9400f9964e87c91d3980e48eebdc8d024bc3b36f7f22189c662853a51c	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/asm-tree-5.0.3.jar	347a7a9400f9964e87c91d3980e48eebdc8d024bc3b36f7f22189c662853a51c	shared-runtime-support	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
17	asm-util-5.0.3.jar	lib/asm-util-5.0.3.jar	2768edbfa2681b5077f08151de586a6d66b916703cda3ab297e58b41ae8f2362	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/asm-util-5.0.3.jar	2768edbfa2681b5077f08151de586a6d66b916703cda3ab297e58b41ae8f2362	shared-runtime-support	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
18	auth-2.15.66.jar	lib/auth-2.15.66.jar	8062c905b3c4954ffc9942c4e83a6d8942a56127609e7de0d8b956176207ff12	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/auth-2.15.66.jar	8062c905b3c4954ffc9942c4e83a6d8942a56127609e7de0d8b956176207ff12	shared-runtime-support	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
19	aws-java-sdk-1.12.564.jar	lib/aws-java-sdk-1.12.564.jar	d0c7f231e82580c59d84b5a0a4d601c07b7cb2e7af4ef5af50f90347e3f1cd1e	direct-pom	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-1.12.564.jar	d0c7f231e82580c59d84b5a0a4d601c07b7cb2e7af4ef5af50f90347e3f1cd1e	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
20	aws-java-sdk-accessanalyzer-1.12.564.jar	lib/aws-java-sdk-accessanalyzer-1.12.564.jar	7fc91567e8d742844c19d0132258d2a4eec61bb8098a41382fab0287573b968b	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-accessanalyzer-1.12.564.jar	7fc91567e8d742844c19d0132258d2a4eec61bb8098a41382fab0287573b968b	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
21	aws-java-sdk-account-1.12.564.jar	lib/aws-java-sdk-account-1.12.564.jar	7b05315904fed7db90321d4b86e3221f5e6311f6c7e3a0ece3f8871559ff132f	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-account-1.12.564.jar	7b05315904fed7db90321d4b86e3221f5e6311f6c7e3a0ece3f8871559ff132f	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
22	aws-java-sdk-acm-1.12.564.jar	lib/aws-java-sdk-acm-1.12.564.jar	f1295606e3feb79882ca0cf159fe091455b62a3e7af1b300c15766d7f3bfc30f	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-acm-1.12.564.jar	f1295606e3feb79882ca0cf159fe091455b62a3e7af1b300c15766d7f3bfc30f	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
23	aws-java-sdk-acmpca-1.12.564.jar	lib/aws-java-sdk-acmpca-1.12.564.jar	cf3d819738c0cd3bd77e54b4ee706092884afcbc63c222acbece086f5c2a073d	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-acmpca-1.12.564.jar	cf3d819738c0cd3bd77e54b4ee706092884afcbc63c222acbece086f5c2a073d	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
24	aws-java-sdk-alexaforbusiness-1.12.564.jar	lib/aws-java-sdk-alexaforbusiness-1.12.564.jar	bbe613c1b0b7d0a2bdf14c75c757303036a4e498e6a21eaa0facea552d6c1f90	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-alexaforbusiness-1.12.564.jar	bbe613c1b0b7d0a2bdf14c75c757303036a4e498e6a21eaa0facea552d6c1f90	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
25	aws-java-sdk-amplify-1.12.564.jar	lib/aws-java-sdk-amplify-1.12.564.jar	6bee4a6efa03e5d877fcb413d30fa7efe1aac9eb054d5fa90d752ada445896ec	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-amplify-1.12.564.jar	6bee4a6efa03e5d877fcb413d30fa7efe1aac9eb054d5fa90d752ada445896ec	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
26	aws-java-sdk-amplifybackend-1.12.564.jar	lib/aws-java-sdk-amplifybackend-1.12.564.jar	9cd06f363d447615728ccc2f2f65ac1b62d814682dc15164220131341300a3c5	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-amplifybackend-1.12.564.jar	9cd06f363d447615728ccc2f2f65ac1b62d814682dc15164220131341300a3c5	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
27	aws-java-sdk-amplifyuibuilder-1.12.564.jar	lib/aws-java-sdk-amplifyuibuilder-1.12.564.jar	b425761465518c569a1199e87a8fd0b399359b2be69c73e2dbf707343cc87f7d	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-amplifyuibuilder-1.12.564.jar	b425761465518c569a1199e87a8fd0b399359b2be69c73e2dbf707343cc87f7d	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
28	aws-java-sdk-api-gateway-1.12.564.jar	lib/aws-java-sdk-api-gateway-1.12.564.jar	ad22e0653a5ea893d8effcf30a91fcb53747748d6890536335fa12c73136ff3d	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-api-gateway-1.12.564.jar	ad22e0653a5ea893d8effcf30a91fcb53747748d6890536335fa12c73136ff3d	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
29	aws-java-sdk-apigatewaymanagementapi-1.12.564.jar	lib/aws-java-sdk-apigatewaymanagementapi-1.12.564.jar	798856cbe9d93b6dd3b5d24cf8f033049f3ce2ecb51e880bab3e9023f268b9cc	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-apigatewaymanagementapi-1.12.564.jar	798856cbe9d93b6dd3b5d24cf8f033049f3ce2ecb51e880bab3e9023f268b9cc	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
30	aws-java-sdk-apigatewayv2-1.12.564.jar	lib/aws-java-sdk-apigatewayv2-1.12.564.jar	cd749e486471d85c3b7bef6480a24b280d48189235c765af4d92a504be7a145c	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-apigatewayv2-1.12.564.jar	cd749e486471d85c3b7bef6480a24b280d48189235c765af4d92a504be7a145c	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
31	aws-java-sdk-appconfig-1.12.564.jar	lib/aws-java-sdk-appconfig-1.12.564.jar	e1c92346f292afd883b9c302ee0dd53078863b7a4e45a21fad7fc3cc87c105a9	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-appconfig-1.12.564.jar	e1c92346f292afd883b9c302ee0dd53078863b7a4e45a21fad7fc3cc87c105a9	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
32	aws-java-sdk-appconfigdata-1.12.564.jar	lib/aws-java-sdk-appconfigdata-1.12.564.jar	c12b18841f86181f5c1d77354d2b51d3484bd42ceb973c48cf534386c00fa20f	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-appconfigdata-1.12.564.jar	c12b18841f86181f5c1d77354d2b51d3484bd42ceb973c48cf534386c00fa20f	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
33	aws-java-sdk-appfabric-1.12.564.jar	lib/aws-java-sdk-appfabric-1.12.564.jar	13e14f5b64b7ea8b767b95f9009437bc41a1c485f90f4af117a471f43c68cd27	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-appfabric-1.12.564.jar	13e14f5b64b7ea8b767b95f9009437bc41a1c485f90f4af117a471f43c68cd27	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
34	aws-java-sdk-appflow-1.12.564.jar	lib/aws-java-sdk-appflow-1.12.564.jar	b3b728c539b7b2d3639acd527ae5fee4f8bb075f2ed9aba6ae0bf59c98bbba47	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-appflow-1.12.564.jar	b3b728c539b7b2d3639acd527ae5fee4f8bb075f2ed9aba6ae0bf59c98bbba47	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
35	aws-java-sdk-appintegrations-1.12.564.jar	lib/aws-java-sdk-appintegrations-1.12.564.jar	cd729e5f3211bec5dcce904ea07bf81bdb8fcc9268f1d8168427f9b8b4fe7c89	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-appintegrations-1.12.564.jar	cd729e5f3211bec5dcce904ea07bf81bdb8fcc9268f1d8168427f9b8b4fe7c89	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
36	aws-java-sdk-applicationautoscaling-1.12.564.jar	lib/aws-java-sdk-applicationautoscaling-1.12.564.jar	4ca8fc4b9235365e755fea7772a053884d16a747573de878b4fbfa590d4b4fc0	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-applicationautoscaling-1.12.564.jar	4ca8fc4b9235365e755fea7772a053884d16a747573de878b4fbfa590d4b4fc0	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
37	aws-java-sdk-applicationcostprofiler-1.12.564.jar	lib/aws-java-sdk-applicationcostprofiler-1.12.564.jar	2f14e7a4f0d6ac933a060bc79412b84458d28f88ba4f7d8bf3da0bfe1c85803f	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-applicationcostprofiler-1.12.564.jar	2f14e7a4f0d6ac933a060bc79412b84458d28f88ba4f7d8bf3da0bfe1c85803f	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
38	aws-java-sdk-applicationinsights-1.12.564.jar	lib/aws-java-sdk-applicationinsights-1.12.564.jar	fc8a0636b6739d0b922e131f7ebe9dea007769e77509ec987424bb961188feba	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-applicationinsights-1.12.564.jar	fc8a0636b6739d0b922e131f7ebe9dea007769e77509ec987424bb961188feba	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
39	aws-java-sdk-appmesh-1.12.564.jar	lib/aws-java-sdk-appmesh-1.12.564.jar	adf69407e5837e8730e8e42661defe14b8c21cc54ca9d3850642e2c6c71b1188	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-appmesh-1.12.564.jar	adf69407e5837e8730e8e42661defe14b8c21cc54ca9d3850642e2c6c71b1188	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
40	aws-java-sdk-appregistry-1.12.564.jar	lib/aws-java-sdk-appregistry-1.12.564.jar	54b608d8e2f8683d3d33da68a701be5d80e5498a34bc1487680465a5a00df436	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-appregistry-1.12.564.jar	54b608d8e2f8683d3d33da68a701be5d80e5498a34bc1487680465a5a00df436	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
41	aws-java-sdk-apprunner-1.12.564.jar	lib/aws-java-sdk-apprunner-1.12.564.jar	941340c2c981c3e28619282a0ceab4cdce044a6a3aeebb0f852b21e97bf46323	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-apprunner-1.12.564.jar	941340c2c981c3e28619282a0ceab4cdce044a6a3aeebb0f852b21e97bf46323	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
42	aws-java-sdk-appstream-1.12.564.jar	lib/aws-java-sdk-appstream-1.12.564.jar	ede9fe2c92506aedc4bfed657ec575ffe335c9e59a10555b23d6f9b7f95ae38b	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-appstream-1.12.564.jar	ede9fe2c92506aedc4bfed657ec575ffe335c9e59a10555b23d6f9b7f95ae38b	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
43	aws-java-sdk-appsync-1.12.564.jar	lib/aws-java-sdk-appsync-1.12.564.jar	2952fdc4affde9bf3ccddffa40d3a8381134a7e9aff30a22a21519dcf199949b	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-appsync-1.12.564.jar	2952fdc4affde9bf3ccddffa40d3a8381134a7e9aff30a22a21519dcf199949b	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
44	aws-java-sdk-arczonalshift-1.12.564.jar	lib/aws-java-sdk-arczonalshift-1.12.564.jar	7df4531dd70e16b025df55fd778a575eee0ec66f71c2c9eb8d9e442511ed5eb8	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-arczonalshift-1.12.564.jar	7df4531dd70e16b025df55fd778a575eee0ec66f71c2c9eb8d9e442511ed5eb8	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
45	aws-java-sdk-athena-1.12.564.jar	lib/aws-java-sdk-athena-1.12.564.jar	0e41b18edca45a070e42bf18e4b19b24ece0d2015778fea4fa75f44d15336bc0	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-athena-1.12.564.jar	0e41b18edca45a070e42bf18e4b19b24ece0d2015778fea4fa75f44d15336bc0	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
46	aws-java-sdk-auditmanager-1.12.564.jar	lib/aws-java-sdk-auditmanager-1.12.564.jar	88145b58a2470dbb7c07f98405cf5e8c7b63e95e416a270865db6e79a1a2f387	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-auditmanager-1.12.564.jar	88145b58a2470dbb7c07f98405cf5e8c7b63e95e416a270865db6e79a1a2f387	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
47	aws-java-sdk-augmentedairuntime-1.12.564.jar	lib/aws-java-sdk-augmentedairuntime-1.12.564.jar	d267b2e57cf158a6eb00e6fc631b716a3c2fd9f0b2cddee803cc87852d2425f8	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-augmentedairuntime-1.12.564.jar	d267b2e57cf158a6eb00e6fc631b716a3c2fd9f0b2cddee803cc87852d2425f8	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
48	aws-java-sdk-autoscaling-1.12.564.jar	lib/aws-java-sdk-autoscaling-1.12.564.jar	c52704ef1c0f271daa1dabbc616e55b945d2ab100b03cc1b7bb757bba499cee3	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-autoscaling-1.12.564.jar	c52704ef1c0f271daa1dabbc616e55b945d2ab100b03cc1b7bb757bba499cee3	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
49	aws-java-sdk-autoscalingplans-1.12.564.jar	lib/aws-java-sdk-autoscalingplans-1.12.564.jar	da757bdb9c3cc60d35a0bf3cfb482a191d6ef8d53c560b3a5bc13bd3411a64e2	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-autoscalingplans-1.12.564.jar	da757bdb9c3cc60d35a0bf3cfb482a191d6ef8d53c560b3a5bc13bd3411a64e2	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
50	aws-java-sdk-backup-1.12.564.jar	lib/aws-java-sdk-backup-1.12.564.jar	176eca93b26ade2aa23ccaedd65ea6fb8522aebf95fc22f13740cc742241e83f	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-backup-1.12.564.jar	176eca93b26ade2aa23ccaedd65ea6fb8522aebf95fc22f13740cc742241e83f	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
51	aws-java-sdk-backupgateway-1.12.564.jar	lib/aws-java-sdk-backupgateway-1.12.564.jar	497fd000cc3a55b0e6451c4388f2127023cef737f324c88f8829d3a4ddd01309	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-backupgateway-1.12.564.jar	497fd000cc3a55b0e6451c4388f2127023cef737f324c88f8829d3a4ddd01309	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
52	aws-java-sdk-backupstorage-1.12.564.jar	lib/aws-java-sdk-backupstorage-1.12.564.jar	3cb72a51371750fcd53c3d8b6210ce2684cb63eb7e5df88269b3a23456264b87	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-backupstorage-1.12.564.jar	3cb72a51371750fcd53c3d8b6210ce2684cb63eb7e5df88269b3a23456264b87	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
53	aws-java-sdk-batch-1.12.564.jar	lib/aws-java-sdk-batch-1.12.564.jar	9616fe297c56ace567d89133847ea0a151cadb62f911c43d9e242975f9a34412	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-batch-1.12.564.jar	9616fe297c56ace567d89133847ea0a151cadb62f911c43d9e242975f9a34412	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
54	aws-java-sdk-bedrock-1.12.564.jar	lib/aws-java-sdk-bedrock-1.12.564.jar	564f3e0d7e5ea402d3ae3768a47fae6a673bdff6a5273d02fd1fa0d3e5722fd2	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-bedrock-1.12.564.jar	564f3e0d7e5ea402d3ae3768a47fae6a673bdff6a5273d02fd1fa0d3e5722fd2	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
55	aws-java-sdk-bedrockruntime-1.12.564.jar	lib/aws-java-sdk-bedrockruntime-1.12.564.jar	c3bbce5b9c92993bc47b86a6e1306efac5ed8e974b3226a2301f0f7a3c259a98	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-bedrockruntime-1.12.564.jar	c3bbce5b9c92993bc47b86a6e1306efac5ed8e974b3226a2301f0f7a3c259a98	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
56	aws-java-sdk-billingconductor-1.12.564.jar	lib/aws-java-sdk-billingconductor-1.12.564.jar	ca3b6fb564248ad7afb5a59897ced91d134adb890b1754dae825c42a2da89403	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-billingconductor-1.12.564.jar	ca3b6fb564248ad7afb5a59897ced91d134adb890b1754dae825c42a2da89403	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
57	aws-java-sdk-braket-1.12.564.jar	lib/aws-java-sdk-braket-1.12.564.jar	f980f2f4740608ca306663e5cff0939f98afcb0db5777f535e67ada0685e3bc7	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-braket-1.12.564.jar	f980f2f4740608ca306663e5cff0939f98afcb0db5777f535e67ada0685e3bc7	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
