namespace	warning_source_sites_before_repair	form	original_class_and_method	decisive_original_bytecode	minimal_recovered_source_correction	expected_unique_warning_delta
datomic.db	db.clj:868	require-id arity-2	datomic.db$require_id/invokeStatic	resolved/error result is CHECKCAST java/lang/Number before Number.longValue	bind result to a ^java.lang.Number local	-1
datomic.db	db.clj:936	String LocalizeTempid implementation	datomic.db$fn__12629/invokeStatic	this is CHECKCAST java/lang/String before String.startsWith(String)	hint this as java.lang.String	-1
datomic.db	db.clj:1072,1073,1074,1075,1077	AttrInfo boolean methods	datomic.db.AttrInfo/hasFulltext,hasNoHistory,hasAVET,isIndexed,isComponent	each keyword lookup result is CHECKCAST java/lang/Boolean before Boolean.booleanValue	hint each lookup result as java.lang.Boolean	-5
datomic.db	db.clj:1351	reverse-comparator metadata reset	datomic.db__init/load	metadata vector is dispatched through clojure/lang/IObj.withMeta(IPersistentMap)	bind arglist vector to a ^clojure.lang.IObj local	-1
datomic.db	db.clj:2023	tuple-attr-value-type	datomic.db$tuple_attr_value_type/invokeStatic	optional attr is CHECKCAST datomic/db/Attribute before GETFIELD vtypeid	hint threaded attr symbol as datomic.db.Attribute	-1
datomic.db	db.clj:2285	create-attribute tuple checker	datomic.db$create_attribute$fn__13120/invoke	require-attr result is CHECKCAST datomic/db/Attribute before GETFIELD vtypeid	hint require-attr result as datomic.db.Attribute	-1
datomic.db	db.clj:2532,2546,2678	drop-avet; drop-unique; add-avet	datomic.db$drop_avet/invokeStatic; $drop_unique/invokeStatic; $add_avet/invokeStatic	attribute results are CHECKCAST datomic/db/Attribute before GETFIELD unique/index/unique	hint each attribute result as datomic.db.Attribute	-3
datomic.db	db.clj:3086,3177,3196	create schema/card-one/unique validators	datomic.db$create_schema_validator$fn__13273/invoke; $create_card_one_validator$fn__13305/invoke; $create_unique_value_validator$fn__13309/invoke	attribute results are CHECKCAST datomic/db/Attribute before GETFIELD cardinality/cardinality/unique	hint each attribute result as datomic.db.Attribute	-3
datomic.db	db.clj:3363	filter-assess-tx-datoms reduction	datomic.db$filter_assess_tx_datoms$fn__13358/invoke	first(result) is CHECKCAST datomic/impl/db/IDatum before IDatum.getT	hint first(result) as datomic.impl.db.IDatum	-1
datomic.db	db.clj:4070,4071,4072(x2),4073,4074(x2)	ident-setting-datoms	datomic.db$ident_setting_datoms/invokeStatic	map values are CHECKCAST datomic/db/IndexSet before GETFIELD aevt; aevt values are CHECKCAST datomic/btset/IDataSet before IDataSet.seek(Object)	hint IndexSet field receivers and IDataSet seek receivers	-7
datomic.db	db.clj:4104,4107,4108,4109	run-hooks iterator	datomic.db$run_hooks$fn__13586/invoke	index values are CHECKCAST datomic/db/IndexSet before GETFIELD aevt; aevt values are CHECKCAST datomic/btset/IDataSet before IDataSet.seek(Object)	hint IndexSet field receivers and IDataSet seek receivers	-4
datomic.db	db.clj:4160	find-last-tx metadata reset	datomic.db__init/load	metadata vector is dispatched through clojure/lang/IObj.withMeta(IPersistentMap)	bind arglist vector to a ^clojure.lang.IObj local	-1
datomic.db	db.clj:4207	add-upgrade-data transaction	datomic.db$add_upgrade_data$fn__13617/invoke	assoc result is CHECKCAST datomic/Database; tx data is CHECKCAST java/util/List before Database.with(List)	hint receiver as datomic.Database and argument as java.util.List	-1
datomic.db	db.clj:4567,4581,4672	nested-entity-map?; has-unique-id?; expand-submap	datomic.db$nested_entity_map_QMARK_/invokeStatic; $has_unique_id_QMARK_$unique_id_QMARK___13694/invoke; $expand_submap/invokeStatic	attribute results are CHECKCAST datomic/db/Attribute before GETFIELD vtypeid/unique/isComponent	hint each attribute result as datomic.db.Attribute	-3
