evidence_id	prepatch_source_site	warning_or_defect	minimal_repair	oracle_class	oracle_method	oracle_method_descriptor	oracle_opcode_evidence	focused_validation
MO001	datomic/monitor.clj:59:9	LongAccumulator.accumulate reflective receiver	bind or-result to typed LongAccumulator local	datomic/monitor/Statistics	addObservation	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	#29 INVOKEVIRTUAL java/util/concurrent/ConcurrentHashMap.computeIfAbsent (Ljava/lang/Object;Ljava/util/function/Function;)Ljava/lang/Object;, CHECKCAST java/util/concurrent/atomic/LongAccumulator; #34 INVOKEVIRTUAL java/util/concurrent/atomic/LongAccumulator.accumulate (J)V	fresh load; warning absent; surface parity; statistics min snapshot
MO002	datomic/monitor.clj:73:9	LongAccumulator.accumulate reflective receiver	bind or-result to typed LongAccumulator local	datomic/monitor/Statistics	addObservation	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	#66 INVOKEVIRTUAL java/util/concurrent/ConcurrentHashMap.computeIfAbsent (Ljava/lang/Object;Ljava/util/function/Function;)Ljava/lang/Object;, CHECKCAST java/util/concurrent/atomic/LongAccumulator; #71 INVOKEVIRTUAL java/util/concurrent/atomic/LongAccumulator.accumulate (J)V	fresh load; warning absent; surface parity; statistics max snapshot
MO003	datomic/monitor.clj:87:9	LongAdder.add reflective receiver	bind or-result to typed LongAdder local	datomic/monitor/Statistics	addObservation	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	#103 INVOKEVIRTUAL java/util/concurrent/ConcurrentHashMap.computeIfAbsent (Ljava/lang/Object;Ljava/util/function/Function;)Ljava/lang/Object;, CHECKCAST java/util/concurrent/atomic/LongAdder; #110 INVOKEVIRTUAL java/util/concurrent/atomic/LongAdder.add (J)V	fresh load; warning absent; surface parity; statistics sum snapshot
MO004	datomic/monitor.clj:97:9	LongAdder.increment reflective receiver	bind or-result to typed LongAdder local	datomic/monitor/Statistics	addObservation	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	#144 INVOKEVIRTUAL java/util/concurrent/ConcurrentHashMap.computeIfAbsent (Ljava/lang/Object;Ljava/util/function/Function;)Ljava/lang/Object;, CHECKCAST java/util/concurrent/atomic/LongAdder; #146 INVOKEVIRTUAL java/util/concurrent/atomic/LongAdder.increment ()V	fresh load; warning absent; surface parity; statistics count snapshot
MO005	datomic/monitor.clj:190:7	addObservation reflective receiver	type dereferenced statistics as concrete Statistics	datomic/monitor$add_stat	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST datomic/monitor/Statistics; #63 INVOKEVIRTUAL datomic/monitor/Statistics.addObservation (Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	fresh load; warning absent; surface parity; callback/add-stat path
MS001	datomic/memory_size.clj:106:20	getClass reflection on o	type receiver as java.lang.Object	datomic/memory_size$fn__424	invokeStatic	(Ljava/lang/Object;)Ljava/lang/Object;	#1 INVOKEVIRTUAL java/lang/Object.getClass ()Ljava/lang/Class;	fresh load; warning absent; surface parity; object-array behavior regression
SL001	datomic/slf4j.clj:389:13	Logger.warn overload unresolved	type process result as String	datomic/slf4j$fn__8989	invokeStatic	(Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST java/lang/String; #21 INVOKEINTERFACE org/slf4j/Logger.warn (Ljava/lang/String;Ljava/lang/Object;)V	fresh load; warning absent; surface parity; reporter logging path
SL002	datomic/slf4j.clj:402:19	Logger.warn overload unresolved	type process result as String; retain Throwable arg	datomic/slf4j$log_uncaught_exceptions$reify__8991	uncaughtException	(Ljava/lang/Thread;Ljava/lang/Throwable;)V	CHECKCAST java/lang/String; CHECKCAST java/lang/Throwable; #22 INVOKEINTERFACE org/slf4j/Logger.warn (Ljava/lang/String;Ljava/lang/Throwable;)V	fresh load; warning absent; surface parity; uncaught-handler path
IO001	datomic/io.clj:101:28	String constructor unresolved	type alias-buf-bytes result as byte[]	datomic/io$bbuf__GT_string	invokeStatic	(Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST [B; #12 INVOKESPECIAL java/lang/String.<init> ([BLjava/lang/String;)V	fresh load; warning absent; surface parity; UTF-8 heap/direct roundtrip
IO002	datomic/io.clj:438:31	String constructor unresolved	type encode-base128 result as byte[]	datomic/io$bbuf__GT_base128	invokeStatic	(Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST [B; #16 INVOKESPECIAL java/lang/String.<init> ([BLjava/lang/String;)V	fresh load; warning absent; surface parity; base128 roundtrip
IO003	datomic/io.clj:506:13	Checksum.update overload unresolved	type alias-buf-bytes result as byte[]	datomic/io$crc32	invokeStatic	(Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST [B; #14 INVOKEINTERFACE java/util/zip/Checksum.update ([B)V	fresh load; warning absent; surface parity; known-vector CRC
CR001	datomic/crypto.clj:206:9	ByteBuffer.put overload unresolved	type calc-hmac result as byte[]	datomic/crypto$append_hmac	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST [B; #42 INVOKEVIRTUAL java/nio/ByteBuffer.put ([B)Ljava/nio/ByteBuffer;	fresh load; warning absent; surface parity; append/validate HMAC roundtrip
CR002	datomic/crypto.clj:221:13	Arrays.equals overload unresolved	type calc-hmac result as byte[]	datomic/crypto$validate_hmac	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST [B on both operands; #84 INVOKESTATIC java/util/Arrays.equals ([B[B)Z	fresh load; warning absent; surface parity; valid/tampered HMAC paths
CO001	datomic/common.clj:79:7	Number.longValue reflective receiver	bind cond result to typed Number local	datomic/common$compare_ex	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	CHECKCAST java/lang/Number; #156 INVOKEVIRTUAL java/lang/Number.longValue ()J	fresh load; warning absent; surface parity; comparison matrix
CO002	datomic/common.clj:81:11	Object.equals reflective receiver	type a as java.lang.Object	datomic/common$compare_ex	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	#2 INVOKEVIRTUAL java/lang/Object.equals (Ljava/lang/Object;)Z	fresh load; warning absent; surface parity; comparison matrix
CO003	datomic/common.clj:86:23	getClass reflection on a	type a as java.lang.Object	datomic/common$compare_ex	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	#77 INVOKEVIRTUAL java/lang/Object.getClass ()Ljava/lang/Class;	fresh load; warning absent; surface parity; comparison matrix
CO004	datomic/common.clj:86:37	getClass reflection on b	type b as java.lang.Object	datomic/common$compare_ex	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	#79 INVOKEVIRTUAL java/lang/Object.getClass ()Ljava/lang/Class;	fresh load; warning absent; surface parity; comparison matrix
CO005	datomic/common.clj:94:26	class-name compareTo reflective target	restore Object receivers so inferred names are Strings	datomic/common$compare_ex	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	#150 INVOKEVIRTUAL java/lang/String.compareTo (Ljava/lang/String;)I	fresh load; warning absent; surface parity; cross-class comparison
CO006	datomic/common.clj:94:38	Class.getName reflection for a	restore Object receiver for getClass	datomic/common$compare_ex	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	#141 INVOKEVIRTUAL java/lang/Class.getName ()Ljava/lang/String;	fresh load; warning absent; surface parity; cross-class comparison
CO007	datomic/common.clj:94:48	getClass reflection on a	type a as java.lang.Object	datomic/common$compare_ex	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	#139 INVOKEVIRTUAL java/lang/Object.getClass ()Ljava/lang/Class;	fresh load; warning absent; surface parity; cross-class comparison
CO008	datomic/common.clj:94:63	Class.getName reflection for b	restore Object receiver for getClass	datomic/common$compare_ex	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	#148 INVOKEVIRTUAL java/lang/Class.getName ()Ljava/lang/String;	fresh load; warning absent; surface parity; cross-class comparison
CO009	datomic/common.clj:94:73	getClass reflection on b	type b as java.lang.Object	datomic/common$compare_ex	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	#146 INVOKEVIRTUAL java/lang/Object.getClass ()Ljava/lang/Class;	fresh load; warning absent; surface parity; cross-class comparison
CO010	datomic/common.clj:97:7	Number.longValue reflective receiver	bind cond result to typed Number local	datomic/common$compare	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	CHECKCAST java/lang/Number; #99 INVOKEVIRTUAL java/lang/Number.longValue ()J	fresh load; warning absent; surface parity; comparison matrix
CO011	datomic/common.clj:125:7	Number.longValue reflective receiver	bind loop result to typed Number local	datomic/common$cl	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	CHECKCAST java/lang/Number; #79 INVOKEVIRTUAL java/lang/Number.longValue ()J	fresh load; warning absent; surface parity; list comparison
CO012	datomic/common.clj:142:10	IObj.withMeta unresolved on vector literal	bind vector to typed IObj local	datomic/common__init	__init0	()V	#509 INVOKEINTERFACE clojure/lang/IObj.withMeta (Lclojure/lang/IPersistentMap;)Lclojure/lang/IObj; after clojure/lang/Tuple.create and CHECKCAST clojure/lang/IObj	fresh load; warning absent; cl arglist metadata surface parity
CO013	datomic/common.clj:170:52	IObj.withMeta unresolved on vector literal	bind vector to typed IObj local	datomic/common__init	__init0	()V	#581 INVOKEINTERFACE clojure/lang/IObj.withMeta (Lclojure/lang/IPersistentMap;)Lclojure/lang/IObj; after clojure/lang/Tuple.create and CHECKCAST clojure/lang/IObj	fresh load; warning absent; cx arglist metadata surface parity
CO014	datomic/common.clj:177:7	Number.longValue reflective receiver	bind let/cond result to typed Number local	datomic/common$cc	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	CHECKCAST java/lang/Number; #64 INVOKEVIRTUAL java/lang/Number.longValue ()J	fresh load; warning absent; surface parity; map/set comparison
CO015	datomic/common.clj:183:30	Object.hashCode reflective receiver on a	type a as java.lang.Object	datomic/common$cc	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	#30 INVOKEVIRTUAL java/lang/Object.hashCode ()I	fresh load; warning absent; surface parity; map/set comparison
CO016	datomic/common.clj:183:47	Object.hashCode reflective receiver on b	type b as java.lang.Object	datomic/common$cc	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	#33 INVOKEVIRTUAL java/lang/Object.hashCode ()I	fresh load; warning absent; surface parity; map/set comparison
CO017	datomic/common.clj:188:52	IObj.withMeta unresolved on vector literal	bind vector to typed IObj local	datomic/common__init	__init0	()V	#653 INVOKEINTERFACE clojure/lang/IObj.withMeta (Lclojure/lang/IPersistentMap;)Lclojure/lang/IObj; after clojure/lang/Tuple.create and CHECKCAST clojure/lang/IObj	fresh load; warning absent; cc arglist metadata surface parity
CO018	datomic/common.clj:195:7	Number.longValue reflective receiver	bind cond result to typed Number local	datomic/common$coll_compare	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	CHECKCAST java/lang/Number; #80 INVOKEVIRTUAL java/lang/Number.longValue ()J	fresh load; warning absent; surface parity; collection comparison
CO019	datomic/common.clj:488:11	Comparable.compareTo reflective receiver	type key-fn result as Comparable	datomic/common$key_comparator$reify__9142	compare	(Ljava/lang/Object;Ljava/lang/Object;)I	CHECKCAST java/lang/Comparable; #17 INVOKEINTERFACE java/lang/Comparable.compareTo (Ljava/lang/Object;)I	fresh load; warning absent; surface parity; sorted key comparison
CO020	datomic/common.clj:544:30	Logger.warn overload unresolved	type process result as String	datomic/common$schedule$fn__9151	invoke	(Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST java/lang/String; CHECKCAST java/lang/Throwable; #29 INVOKEINTERFACE org/slf4j/Logger.warn (Ljava/lang/String;Ljava/lang/Throwable;)V	fresh load; warning absent; surface parity; scheduled-failure path
CO021	datomic/common.clj:579:15	Logger.info overload unresolved	type process result as String	datomic/common$log_retry	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST java/lang/String; #68 INVOKEINTERFACE org/slf4j/Logger.info (Ljava/lang/String;Ljava/lang/Object;)V	fresh load; warning absent; surface parity; throwable retry path
CO022	datomic/common.clj:834:15	ExecutorService.submit overload unresolved	bind bound-fn result to typed Callable local	datomic/common$pooled_mapv$fn__9238	invoke	(Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST java/util/concurrent/Callable; #16 INVOKEINTERFACE java/util/concurrent/ExecutorService.submit (Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;	fresh load; warning absent; surface parity; pooled-mapv value/exception paths
DEF001	datomic/common.clj:63-73	compare-byte-arrays equal-length branch discarded loop result and returned nil	return the primitive loop result directly	datomic/common$compare_byte_arrays	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)J	IFNE L8; equal-length loop exits at L11 then GOTO L20/LRETURN; byte comparison is clojure/lang/RT.aget ([BI)B -> java/lang/Byte.valueOf (B)Ljava/lang/Byte; -> clojure/lang/RT.uncheckedLongCast (Ljava/lang/Object;)J -> LSUB	isolated oracle and candidate: equal 0; prefix -1/1; 0x80 vs 0x7f -255 and reverse 255; behavior regression passed
